"","X1","X2","X3","word","col","term_count","doc_count","count","avg_sentiment","sum_sentiment","sd_sentiment"
"89",-2.39089199674938,4.40432758359646,-0.651569802089164,"every","#FF008EFF",30,28,31,0.164730003308662,5.10663010256852,0.292813119612345
"90",-6.26259978432,4.44560470865629,-1.26658649343077,"give","#FF008DFF",30,29,30,0.119219822492567,3.57659467477702,0.238368849968393
"91",-9.88556379419481,7.28490033672505,-1.33448591372912,"wish","#FF008CFF",31,31,31,0.123267616724757,3.82129611846748,0.331772210392884
"92",-2.54990950007915,1.29631795570133,4.01365681721648,"minutes","#FF008BFF",31,20,33,0.138097809002421,4.5572276970799,0.172945134790336
"93",-8.24552776625267,7.84966732673972,5.38301795112152,"enjoy","#FF008AFF",31,30,38,0.267737692714859,10.1740323231646,0.281015322505373
"94",-7.9316958582598,5.77514306223469,-5.22256087710903,"seen","#FF0089FF",31,28,32,0.167440817531626,5.35810616101203,0.240993394892161
"95",-2.44864473100834,5.01287350521423,-8.75926872455987,"looking","#FF0088FF",32,30,34,0.266090932163761,9.04709169356788,0.247327864120666
"96",-10.7805034950671,0.118638226594058,0.976629738472321,"terrible","#FF0087FF",32,30,38,-0.218492352274233,-8.30270938642087,0.301557498446318
"97",-7.95805331292283,3.39958581027724,-1.053657471814,"universe","#FF0087FF",32,28,34,0.104686634282234,3.55934556559597,0.177632091190228
"98",-7.40413422553745,0.829404934343211,2.66607533408043,"everything","#FF0086FF",32,30,34,0.140913121545769,4.79104613255616,0.148053889350352
"99",-9.25548735061049,6.58606978224206,1.49406274370167,"wanted","#FF0085FF",32,30,32,0.0446171209493846,1.42774787038031,0.188118820670897
"100",-3.82334900661607,5.23247540558786,-4.02927238106624,"films","#FF0084FF",32,26,34,0.148129951219693,5.03641834146957,0.243582394884258
"102",-8.25407591541298,1.26280787991984,-4.86353667189317,"superhero","#FF0082FF",33,30,38,0.134462776269894,5.10958549825597,0.273211381686467
"103",-12.4560995836392,6.05545999774961,-2.73425513405759,"saw","#FF0081FF",33,29,33,0.188609410372363,6.22411054228798,0.171850135634926
"104",-6.1358952010763,5.49606008919684,-3.77170698588933,"3","#FF0080FF",33,33,43,0.184353890735102,7.92721730160939,0.331376007767983
"105",-6.21366719689114,5.74459115048517,-3.00991101772529,"villain","#FF007FFF",33,28,36,0.0905738429724268,3.26065834700736,0.201069784008834
"106",-3.86145822553508,4.36696320759575,0.126587210588049,"2","#FF007EFF",33,30,53,0.118716799582677,6.29199037788186,0.291169078065099
"108",-6.90749290866861,-5.98503624012864,-0.90156405803367,"hes","#FF007CFF",34,21,2,0.168869175242728,0.337738350485456,0
"109",-0.292103604701641,-8.2427776184672,-3.19572717170375,"always","#FF007BFF",34,34,34,0.173015774831126,5.88253634425827,0.233873428150998
"110",-4.97062214080205,3.31513693360726,2.97302352771993,"isnt","#FF007AFF",34,25,3,0.263108116894151,0.789324350682454,0.303127744431676
"111",-4.77944981432766,10.2141061974848,2.82292225006722,"long","#FF007AFF",34,32,34,0.16403380133797,5.57714924549099,0.138459474107489
"112",-9.7096402915147,4.78956959622575,-2.53569740208622,"ever","#FF0079FF",34,31,37,0.0722493998534538,2.67322779457779,0.235324064079817
"113",-4.74321440338445,2.88538097909107,-10.140586553704,"enough","#FF0078FF",34,32,35,0.0802703933165859,2.80946376608051,0.258859902572852
"114",8.06999774796733,1.57101714820947,-6.83028496382418,"favorite","#FF0077FF",34,32,37,0.270481568738114,10.0078180433102,0.247759676579377
"115",-9.65821825979812,1.07611635059356,4.6687831456318,"cool","#FF0076FF",35,34,42,0.323231502844053,13.5757231194502,0.314091636803882
"116",-7.69626932944514,1.13017635375631,-5.56812723737777,"ive","#FF0075FF",35,32,2,0.177631235066759,0.355262470133519,0.0123914238374698
"117",-8.16849243093599,0.54286134074216,-0.872546111801674,"since","#FF0074FF",36,33,36,0.0986659007656576,3.55197242756367,0.226023845556581
"119",-9.17154030232431,-5.1756114030962,-2.48722742906144,"different","#FF0072FF",36,32,38,0.231773986349369,8.80741148127604,0.214846124042045
"120",-2.47005421462119,0.520075907847992,-0.432601789427541,"things","#FF0071FF",36,30,36,0.0833831514496293,3.00179345218665,0.204320026386657
"121",-7.98752610229934,3.73547661709005,4.36740036983925,"whole","#FF0070FF",37,35,37,0.132295335013649,4.89492739550501,0.253661790194903
"122",-2.25715502095094,1.83100731987385,6.18312056302715,"another","#FF006FFF",37,36,39,0.167786898349232,6.54368903562004,0.22877529645154
"123",-7.35616645851133,4.66357977038537,-0.193671353584413,"definitely","#FF006EFF",38,38,39,0.219585692602992,8.5638420115167,0.182014139017549
"124",-7.16423223148596,4.58218352913613,1.19970749354793,"now","#FF006DFF",38,35,44,0.155799456830494,6.85517610054175,0.30644060932545
