"","date","avg_sent"
"1",2018-10-05,0.494974746830583
"2",2018-10-06,0.0779493326642067
"3",2018-10-07,0.224282933328204
"4",2018-10-08,0.161503227827421
"5",2018-10-10,0.29921027488355
"6",2018-10-12,0.0943132219613114
"7",2018-10-13,0.418999962303808
"8",2018-10-14,0.158738344738235
"9",2018-10-15,0.227552188163402
"10",2018-10-17,-0.0229050426634104
"11",2018-10-21,0.479525153527519
"12",2018-10-22,0.022316770988855
"13",2018-10-23,0.202287103680576
"14",2018-10-24,0.071447622142683
"15",2018-10-26,0.14491197591035
"16",2018-10-27,0.238005713527593
"17",2018-10-28,0.0447949153482945
"18",2018-11-01,-0.1875
"19",2018-11-09,0.354340877611097
"20",2018-11-11,0.0907027503889122
"21",2018-11-18,0.292781974262121
"22",2018-11-20,-0.304894698594428
"23",2018-11-24,0.12674168994074
"24",2018-11-26,0.118795351890109
"25",2018-11-28,0.360496645152063
"26",2018-11-30,0.0277157644070603
"27",2018-12-02,0.0532611850312693
"28",2018-12-06,0.103125023043775
"29",2018-12-08,0.0832264588256146
"30",2018-12-09,0.101238358934141
"31",2018-12-11,0.159937228285932
"32",2018-12-12,0.192917311221359
"33",2018-12-13,0.191831820005308
"34",2018-12-14,0.25607173302039
"35",2018-12-15,0.317545263185589
"36",2018-12-16,0.23790777311848
"37",2018-12-17,0.231296369676485
"38",2018-12-18,0.23295782239134
"39",2018-12-19,0.250078729956315
"40",2018-12-20,0.13360889827205
"41",2018-12-21,0.0882319426531643
"42",2018-12-22,0.209391644437102
"43",2018-12-23,0.147294702606365
"44",2018-12-24,0.180591855181084
"45",2018-12-25,0.111589041469536
"46",2018-12-26,0.276051201610854
"47",2018-12-27,0.274860354560467
"48",2018-12-28,0.197194105465089
"49",2018-12-29,0.284947167305048
"50",2018-12-30,0.234989915987548
"51",2018-12-31,0.273834578640644
"52",2019-01-01,0.250342727559597
"53",2019-01-02,0.0714011121468125
"54",2019-01-03,0.164489215145468
"55",2019-01-04,0.237638429106523
"56",2019-01-05,0.209115099601948
"57",2019-01-06,0.279866134908413
"58",2019-01-07,0.299245866215704
"59",2019-01-08,0.267547354924917
"60",2019-01-09,0.263734946705225
"61",2019-01-10,0.272450584074858
"62",2019-01-11,0.0649969011783936
"63",2019-01-12,0.208079821068974
"64",2019-01-13,0.224950767940663
"65",2019-01-14,0.382961690571828
"66",2019-01-15,0.337938002217116
"67",2019-01-16,0.34173364155418
"68",2019-01-17,0.329795534608064
"69",2019-01-18,0.277683189564426
"70",2019-01-19,0.309361831879998
"71",2019-01-20,0.305077455412628
"72",2019-01-21,0.349529441622207
"73",2019-01-22,0.267373612279844
"74",2019-01-23,0.228301097047926
"75",2019-01-24,0.213347882136044
"76",2019-01-25,0.365608456318974
"77",2019-01-26,0.240289474683976
"78",2019-01-27,0.255148765166238
"79",2019-01-28,0.290931879917023
"80",2019-01-29,0.252297158198812
"81",2019-01-30,0.231612133195927
"82",2019-01-31,0.303670106134961
"83",2019-02-01,0.359394036640892
"84",2019-02-02,0.0869965846116182
"85",2019-02-03,0.314075922067647
"86",2019-02-04,0.299010588617621
"87",2019-02-05,0.236120634317041
"88",2019-02-06,0.371069497987308
"89",2019-02-07,0.295931368003516
"90",2019-02-08,0.173450177909896
"91",2019-02-09,0.471178743858994
"92",2019-02-10,0.325459869265744
"93",2019-02-11,0.247316787972664
"94",2019-02-12,0.273194912098249
"95",2019-02-13,0.324869435594439
"96",2019-02-14,0.319144852080644
"97",2019-02-15,0.306798253202364
"98",2019-02-16,0.210293032355812
"99",2019-02-17,0.293971874982569
"100",2019-02-18,0.303068455392982
"101",2019-02-19,0.472984479483748
"102",2019-02-20,0.454025469993509
"103",2019-02-21,0.0813329907812235
"104",2019-02-22,0.28988152805628
"105",2019-02-23,0.288471256958314
"106",2019-02-24,0.21055973395124
"107",2019-02-25,0.355782102725625
"108",2019-02-26,0.306030932053721
"109",2019-02-27,0.196420930129952
"110",2019-02-28,0.477231918015039
"111",2019-03-01,0.0348512886760509
"112",2019-03-02,0.256832611149616
"113",2019-03-03,0.26256295843177
"114",2019-03-04,0.404617247072591
"115",2019-03-05,0.353646843334796
"116",2019-03-06,0.357938257966271
"117",2019-03-07,0.540181257532754
"118",2019-03-08,0.208572583134867
"119",2019-03-09,0.399680578037647
"120",2019-03-10,0.374978090757871
"121",2019-03-11,0.218678943070924
"122",2019-03-12,0.354333210013244
"123",2019-03-13,0.286940649315815
"124",2019-03-14,0.410927747494347
"125",2019-03-15,0.254650321411748
"126",2019-03-16,0.419249138480057
"127",2019-03-17,0.311363571856615
"128",2019-03-18,0.403918833148392
"129",2019-03-19,0.312137540772047
"130",2019-03-20,0.420297561188644
"131",2019-03-21,0.300026752729002
"132",2019-03-22,0.263257677206865
"133",2019-03-23,0.458780717292452
"134",2019-03-24,0.277743803859797
"135",2019-03-25,0.165839197614599
"136",2019-03-26,0.213817136885899
"137",2019-03-27,0.375044328797366
"138",2019-03-28,0.342449748765805
"139",2019-03-29,0.120556876318619
"140",2019-03-30,0.382649178999147
"141",2019-03-31,0.259058083854334
"142",2019-04-01,0.299786231847833
"143",2019-04-02,0.343458612390451
"144",2019-04-03,0.329331830082287
"145",2019-04-04,0.488963984379479
"146",2019-04-05,0.248627059061052
"147",2019-04-06,0.194842697560979
"148",2019-04-07,0.38950864115823
"149",2019-04-08,0.389772081475075
"150",2019-04-09,0.353553390593274
"151",2019-04-10,0.331910329248201
"152",2019-04-11,0.129448837567331
"153",2019-04-12,0.156389488002461
"154",2019-04-13,0.286197895527174
