"","id","author","date","stars","review_format","word_count","sd","ave_sentiment"
"1",1,"MacJunegrand","24-Oct-18",5,"Format: Prime Video",912,0.316471896800501,0.0545068966370476
"2",2,"kiwijinxter","12-Oct-18",5,"Format: Blu-ray",299,0.362348067515626,0.0943132219613114
"3",3,"Kevin J. Loria","7-Oct-18",5,"Format: Blu-ray",124,0.522598003817518,0.328803302104143
"4",4,"A. Stallworth","21-Dec-18",1,"Format: Prime VideoVerified Purchase",88,0.285402280639161,-0.0424858580164824
"5",5,"Charles Schoch","20-Dec-18",1,"Format: Prime VideoVerified Purchase",593,0.343238795931036,-0.0306560452625412
"6",6,"H. Tague","11-Dec-18",5,"Format: Prime VideoVerified Purchase",118,0.26497906217785,0.111080199133604
"7",7,"Reginald Thornburton","21-Dec-18",1,"Format: Prime VideoVerified Purchase",115,0.265267368913489,-0.0640786709639618
"8",8,"Clayton","18-Dec-18",1,"Format: Prime VideoVerified Purchase",69,0.357829375308406,-0.128324647444004
"9",9,"JC","19-Dec-18",1,"Format: Prime VideoVerified Purchase",71,0.536430697471816,-0.134295464918303
"10",10,"Chris Avolt","11-Dec-18",1,"Format: Prime VideoVerified Purchase",8,NA,0
"11",11,"Rich Whitcomb","22-Dec-18",5,"Format: Blu-rayVerified Purchase",190,0.300050419490266,0.257188451822362
"12",12,"Alex","15-Dec-18",5,"Format: Prime VideoVerified Purchase",113,0.125823253680727,0.12015569581472
"13",13,"Sam Kreutzer","15-Dec-18",5,"Format: Prime VideoVerified Purchase",90,0.222887001021781,0.197799348878171
"14",14,"Vargr","13-Dec-18",3,"Format: Prime VideoVerified Purchase",1001,0.267118829415992,-0.0420123286574205
"15",15,"Max Lennon Keith","21-Dec-18",1,"Format: Prime VideoVerified Purchase",65,0.448330442085096,-0.223949907042284
"16",16,"T. Norton","15-Dec-18",1,"Format: Prime VideoVerified Purchase",25,0.210749292571254,0.0277544413892352
"17",17,"Christopher Hausmann","22-Dec-18",1,"Format: Prime VideoVerified Purchase",71,0.328762049516793,0.0254425672027741
"18",18,"Greg Jones","21-Dec-18",1,"Format: Prime VideoVerified Purchase",69,0.1248940564745,-0.024764524004975
"19",19,"VictoriaSelene Skye~Deme","12-Dec-18",5,"Format: Prime VideoVerified Purchase",97,0.398250847602881,0.542966988304017
"20",20,"SHAWN KERMANI","11-Dec-18",5,"Format: Prime VideoVerified Purchase",116,0.613953359876482,0.0466353266596593
"21",21,"Mark Schuster","24-Dec-18",5,"Format: Prime VideoVerified Purchase",282,0.334159321508644,0.186393294890791
"22",22,"LongClaw","21-Dec-18",1,"Format: Prime VideoVerified Purchase",14,0.612372435695794,-0.517863284947029
"23",23,"E. Ostrom","16-Dec-18",1,"Format: Prime VideoVerified Purchase",30,0.235702260395516,-0.199325671311728
"24",24,"fenx1200","21-Dec-18",5,"Format: Prime VideoVerified Purchase",186,0.16276232790163,0.205610985947054
"25",25,"Tabby22","1-Jan-19",5,"Format: Prime VideoVerified Purchase",111,0.101285378104732,-0.158737363565903
"26",26,"MovieMan M","8-Jan-19",3,"Format: Blu-rayVerified Purchase",68,0.0925071195025127,0.131866373258168
"27",27,"Amazon Customer","24-Jan-19",4,"Format: DVDVerified Purchase",128,0.236074019355009,-0.139768400071088
"28",28,"K. Borah","18-Jan-19",4,"Format: Prime VideoVerified Purchase",274,0.419460817737846,-0.0832536715731148
"29",29,"jason guion","23-Dec-18",4,"Format: Prime VideoVerified Purchase",320,0.341853281664458,0.241010632906236
"30",30,"Kindle Customer","14-Dec-18",1,"Format: Prime VideoVerified Purchase",30,0.424208020676809,0.407282382132872
"31",31,"Linda J.","16-Dec-18",5,"Format: Prime VideoVerified Purchase",52,0.381705152278518,0.237571437488213
"32",32,"James Wink","26-Dec-18",3,"Format: Blu-rayVerified Purchase",201,0.274966197788896,0.131665906227992
"33",33,"mcteenie","19-Dec-18",3,"Format: Prime VideoVerified Purchase",372,0.311092557168192,0.156946058806871
"34",34,"Landon","28-Dec-18",4,"Format: Blu-rayVerified Purchase",208,0.407423889397399,0.0995786222133832
