"","X1","X2","word","col","term_count","doc_count","count","avg_sentiment","sum_sentiment","sd_sentiment"
"1",0.547115393068037,0.665361629188267,"2","#FF00DDFF",20,20,25,0.239461262819666,5.98653157049166,0.228740272793078
"2",-2.2636661775981,-0.133686427540062,"put","#FF00DBFF",21,21,21,0.282515431825023,5.93282406832549,0.177497732078109
"3",-0.0462616294214082,-2.46983527951475,"excellent","#FF00D8FF",21,21,99,0.451001224259248,44.6491212016656,0.21877011284456
"4",-0.296367215021118,4.52300390333325,"recommend","#FF00D6FF",21,21,54,0.309634881085258,16.7202835786039,0.190527980467715
"6",-2.81436177405045,-1.06421591542653,"theater","#FF00D0FF",21,20,41,0.210954047432334,8.64911594472569,0.137739862705708
"7",-2.38212859390341,-1.76154207995203,"saw","#FF00CCFF",22,22,47,0.257000496212656,12.0790233219948,0.137707007129437
"9",-3.31576416209934,-2.70247940651638,"enjoy","#FF00C8FF",22,21,41,0.306903314440864,12.5830358920754,0.225687319628799
"11",-2.40544392350449,-0.993586140198587,"line","#FF00C3FF",22,20,40,0.318367180189423,12.7346872075769,0.187284710452985
"12",-2.77576379544297,0.836299841767412,"wait","#FF00C1FF",23,23,47,0.223185330477103,10.4897105324238,0.119983203338749
"13",-3.03380560972997,-1.73272200874883,"need","#FF00BFFF",23,20,30,0.171128852545722,5.13386557637167,0.219554830252554
"14",-1.88642035281304,1.12996213880317,"nothing","#FF00BEFF",23,23,27,0.146459854508581,3.95441607173168,0.271121114765246
"15",-3.03154069951028,-1.09809793144095,"entire","#FF00BCFF",23,20,18,0.192745750696947,3.46942351254505,0.178281411039746
"16",-1.62379369261195,-1.37778483708981,"humor","#FF00BAFF",23,22,24,0.297095251376716,7.13028603304119,0.211464405199983
"17",2.46251206329136,-0.658552861944707,"give","#FF00B8FF",23,22,37,0.157107740996428,5.81298641686784,0.240548601109533
"18",0.242833839114472,-1.98039252211576,"visually","#FF00B7FF",23,23,3,0.0941232867777692,0.282369860333307,0.158982491933429
"19",0.0047527828003846,-2.19914024189027,"family","#FF00B6FF",23,20,44,0.292141690644581,12.8542343883616,0.178297399319636
"20",-3.9243428713195,-1.50199364702382,"digital","#FF00B5FF",23,20,34,0.104919832007121,3.56727428824212,0.194712649524077
"21",-3.46302772582173,0.675110756687145,"dvd","#FF00B4FF",24,22,39,0.14654452679085,5.71523654484317,0.246386247201028
"23",-2.64130653381387,-0.610091377448159,"overall","#FF00B2FF",24,21,36,0.225504090612318,8.11814726204345,0.236814623407512
"24",-1.2099229221972,-0.142467915552659,"perfect","#FF00B1FF",24,22,76,0.260378685325905,19.7887800847688,0.180173011252057
"25",-1.46239683598432,-0.519157303591963,"visuals","#FF00B1FF",24,23,11,0.291061916307968,3.20168107938765,0.212168265390307
"26",-1.86562831706318,-0.593919123835368,"dialogue","#FF00AFFF",24,22,4,0.249681525504202,0.99872610201681,0.219079469071638
"27",2.46397765613254,0.321266835595042,"us","#FF00AEFF",24,23,28,0.16359667620808,4.58070693382624,0.195288852180351
"28",0.420958121503806,-1.90484547121344,"writing","#FF00ADFF",24,20,17,0.118216965689693,2.00968841672478,0.245512021951101
"29",-0.246322479762041,-1.52107424361748,"beautiful","#FF00ABFF",24,21,55,0.358830884640688,19.7356986552378,0.185500764138241
"30",4.17315247893183,1.15352624385647,"favorite","#FF00AAFF",24,23,55,0.295161839240324,16.2339011582178,0.207597142117569
"31",-2.45558811876302,0.711450496642861,"superman","#FF00A9FF",25,22,43,0.217379760400752,9.34732969723235,0.189901737134728
"32",-3.00729356430818,0.607925310263985,"trying","#FF00A8FF",25,23,12,0.0624591099663948,0.749509319596738,0.150281868827414
"33",-1.6415954088523,-1.34493184716991,"since","#FF00A7FF",25,23,54,0.172448388490264,9.31221297847426,0.161173031696814
"34",0.885877514103721,-2.9638542171537,"amazon","#FF00A6FF",25,20,40,0.188198515180557,7.5279406072223,0.191121364864556
"35",3.53775048632848,0.966139845015145,"makes","#FF00A5FF",25,20,29,0.182178740400354,5.28318347161028,0.178133216427147
"36",2.18968074071627,0.830444245230694,"new","#FF00A2FF",25,24,44,0.269188432923491,11.8442910486336,0.197691912112502
"40",-4.00765277290351,0.207897270468978,"definitely","#FF009DFF",26,24,47,0.331968646558854,15.6025263882661,0.234550206987224
"41",0.969217424599918,-0.866036903750408,"something","#FF009CFF",26,24,32,0.203152464248365,6.50087885594769,0.203083719379918
"42",-1.80792110879268,-0.259244406089873,"fantastic","#FF009BFF",26,22,48,0.356850999757478,17.1288479883589,0.230805597684694
"43",-2.15986555397274,-1.40119210768326,"let","#FF009AFF",27,24,16,0.146188538586352,2.33901661738164,0.141050747461245
"44",-1.48772653322148,0.210058564104101,"job","#FF0099FF",27,26,61,0.24759400831762,15.1032345073748,0.140577548888003
"45",-3.65791637879575,0.577342905826487,"sure","#FF0097FF",27,22,27,0.19447103975618,5.25071807341687,0.195733161059885
"46",0.286626583710828,1.43589716641254,"looks","#FF0096FF",27,24,18,0.201933809625946,3.63480857326702,0.197779965556111
"47",-2.66196657592495,-0.6011750328061,"script","#FF0095FF",27,23,20,0.214209812832082,4.28419625664164,0.154623779356441
"48",-1.72903497942954,-0.205434625004547,"though","#FF0094FF",27,22,40,0.159695098741703,6.3878039496681,0.148582807115625
"50",-2.60942457170523,-0.87070426831945,"half","#FF0092FF",27,22,6,-0.0172664196796237,-0.103598518077742,0.193657119074989
"51",-1.17057487300637,1.41346751338109,"old","#FF0091FF",27,24,37,0.259048694785933,9.58480170707953,0.138373507018535
