"","date","avg_sent"
"1",2017-11-04,0.320018912328243
"2",2017-11-05,0.142690422383259
"3",2017-11-06,0.275301509673993
"4",2017-11-07,0.34667595549934
"5",2017-11-09,0.160477092573879
"6",2017-11-10,0.145447477240753
"7",2017-11-11,0.0144038925820178
"8",2017-11-12,0.176308713683048
"9",2017-11-13,0.207395317081427
"10",2017-11-14,0.471560601521567
"11",2017-11-16,0.178592127330939
"12",2017-11-17,0.0482100202538892
"13",2017-11-18,-0.0207420566766761
"14",2017-11-20,-0.0420316544006688
"15",2017-11-21,-0.248343854089637
"16",2017-11-22,-0.0276484887768591
"17",2017-11-23,0.202433856545298
"18",2017-11-25,0.190049737760272
"19",2017-11-26,0.511734167780993
"20",2017-11-27,0.302929719470382
"21",2017-11-29,0.223606797749979
"22",2017-12-01,0.413336222754232
"23",2017-12-02,0.2632552508019
"24",2017-12-04,0.282135326270041
"25",2017-12-07,0.445513727737436
"26",2017-12-08,0.598034351363927
"27",2017-12-11,0.20962737570893
"28",2017-12-13,0.201560096692016
"29",2017-12-14,0.479363233679343
"30",2017-12-15,0.0832403864164085
"31",2017-12-16,0.21430598184511
"32",2017-12-17,0.214787674428375
"33",2017-12-19,0.232183965737509
"34",2017-12-26,0.166666666666667
"35",2017-12-28,-0.0195846082741202
"36",2017-12-29,-0.084520060813669
"37",2017-12-31,0.00818804277475452
"38",2018-01-01,0.350502150702007
"39",2018-01-03,0
"40",2018-01-05,0.0579586395933201
"41",2018-01-06,0.176776695296637
"42",2018-01-07,0.304006003924842
"43",2018-01-09,0.389483623275207
"44",2018-01-10,0.10912537687646
"45",2018-01-11,0.293199207097588
"46",2018-01-13,0.485265585568775
"47",2018-01-14,0.331134026166712
"48",2018-01-19,0.242128075466564
"49",2018-01-20,0.0454164151556027
"50",2018-01-23,0.354298739387638
"51",2018-01-24,0.439911254519085
"52",2018-01-26,0.135092710119559
"53",2018-01-27,0.0929396400821202
"54",2018-01-28,0.0702346684611393
"55",2018-02-02,0.162712108472707
"56",2018-02-05,0.25355272862339
"57",2018-02-07,0.354511300954291
"58",2018-02-11,0.292484166330656
"59",2018-02-14,0.271402536552702
"60",2018-02-16,0.141324527607452
"61",2018-02-19,0.122494729478813
"62",2018-02-20,0.211360947968917
"63",2018-02-21,0.184307872020213
"64",2018-02-22,0.0269399543071612
"65",2018-02-23,0.38845862131999
"66",2018-02-24,0.029003512147592
"67",2018-02-25,0.21931523858487
"68",2018-02-26,0.106506655722306
"69",2018-02-27,0.44437132445958
"70",2018-02-28,0.251481044680062
"71",2018-03-01,0.314837695033876
"72",2018-03-02,0.189203177054676
"73",2018-03-03,0.166006905526657
"74",2018-03-04,0.283569251879479
"75",2018-03-05,0.243195373487115
"76",2018-03-06,0.264009194488077
"77",2018-03-07,0.195869436602747
"78",2018-03-08,0.152328924873054
"79",2018-03-09,0.247989049625791
"80",2018-03-10,0.134588152840033
"81",2018-03-11,0.116508692935489
"82",2018-03-12,0.22278930666794
"83",2018-03-13,-0.0425811818955656
"84",2018-03-14,0.315674966207754
"85",2018-03-15,0.337734022306885
"86",2018-03-16,0.424295856164334
"87",2018-03-17,0.198079254121685
"88",2018-03-18,0.181854136483674
"89",2018-03-19,0.250585190238968
"90",2018-03-20,0.168305684805989
"91",2018-03-21,0.285029961338228
"92",2018-03-22,0.234016308352989
"93",2018-03-23,0.433531143960229
"94",2018-03-24,0.287882894076773
"95",2018-03-25,0.296815848997334
"96",2018-03-26,0.15954955271921
"97",2018-03-27,0.264244937310546
"98",2018-03-28,0.342491756752404
"99",2018-03-29,0.358624515170524
"100",2018-03-30,0.367981934466427
"101",2018-03-31,0.43355466386571
"102",2018-04-01,0.376409094784504
"103",2018-04-02,0.293991996006672
"104",2018-04-03,0.166762612579881
"105",2018-04-04,0.304424006517264
"106",2018-04-05,0.312762447668708
"107",2018-04-06,0.344202591398024
"108",2018-04-07,0.33541141814528
"109",2018-04-08,0.43548548602159
"110",2018-04-09,0.284500101888694
"111",2018-04-10,0.357383997612518
"112",2018-04-11,0.326351321859325
"113",2018-04-12,0.270324761965857
"114",2018-04-13,0.365581181331688
"115",2018-04-14,0.278249555642084
"116",2018-04-15,0.156141050269058
"117",2018-04-16,0.479268253593683
"118",2018-04-17,0.254118051470756
"119",2018-04-18,0.408014875109018
"120",2018-04-19,0.286073589335646
"121",2018-04-20,0.216911192426691
"122",2018-04-21,0.275475227852454
"123",2018-04-22,0.212408247453664
"124",2018-04-23,0.353670282746845
"125",2018-04-24,0.336145137531463
"126",2018-04-25,0.241464735555887
"127",2018-04-26,0.281436892878141
"128",2018-04-27,0.222090764713075
"129",2018-04-28,0.300601027401031
"130",2018-04-29,0.253680004445837
"131",2018-04-30,0.314243182851867
"132",2018-05-01,0.125396401394324
"133",2018-05-02,0.338448208595798
"134",2018-05-03,0.36990096771552
"135",2018-05-04,0.423004723618271
"136",2018-05-05,0.270926764080063
"137",2018-05-06,0.150038638077893
"138",2018-05-07,0.341275541800544
"139",2018-05-08,0.386666617209383
"140",2018-05-09,0.301019960105733
"141",2018-05-10,0.307419527132057
"142",2018-05-11,0.334745417129713
"143",2018-05-12,0.226231866007853
"144",2018-05-13,0.417584259119602
"145",2018-05-14,0.387535749217331
"146",2018-05-15,0.276597016391267
"147",2018-05-16,0.191567405235936
"148",2018-05-17,0.206968890901525
"149",2018-05-18,0.331871474639276
"150",2018-05-19,0.183912026413436
"151",2018-05-20,0.467634514033287
"152",2018-05-21,0.463013762507067
"153",2018-05-22,0.261206866236356
"154",2018-05-23,0.432707319583215
